|details|name|viable|germ_code|mod1|mod2|mod3|mod4|special_info
84|Sow at 4C for 3 months, then place @ 20C for 3 months. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer truncatum||G|7||||
85|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow at 4C for 3 months, then place @ 20C for 3 months. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer tschonoskii subsp. koreanum|!|G|7||||
86|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer ukurunduense||L|7||||
87|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again. Requires light or the seed is very fine. Surface sow and expose to light.|Achillea ageratifolia||B|3||||
88|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again. Requires light or the seed is very fine. Surface sow and expose to light.|Achillea ageratifolia spp. aizoon||B|3||||
89|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.    * grow cool|Achillea ageratum||A|3||||*
90|Sow @ 20C. Seed germinates within 3 months|Achillea alpina||A|||||
91|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea Anthea\'||A|3||||
92|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again. Requires light or the seed is very fine. Surface sow and expose to light.|Achillea asiatica||B|3||||
93|Sow @ 20C. Seed germinates within 3 months|Achillea biserrata||A|||||
94|Sow at 10C.|Achillea clavennae||K|||||
95|Sow at 10C.|Achillea clavennae var. intercedens||K|||||
96|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea filipendulina||A|3||||
97|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea filipendulina \'Gold Plate\'||A|3||||
98|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea filipendulina \'Parker\'s Variety\'||A|3||||
99|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea grandiflora||A|3||||
100|Sow @ 20C. Seed germinates within 3 months|Achillea holosericea||A|||||
101|Sow @ 20C. Seed germinates within 3 months|Achillea huteri||A|||||
102|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light. Germination is improved by using GA3.|Achillea macrophylla||A|3|4|||
103|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea millefolium||A|3||||
104|Sow @ 20C. Seed germinates within 3 months|Achillea millefolium \'Cassis\'||A|||||
105|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea millefolium \'Summer Pastels\'||A|3||||
106|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea Moonshine\'||A|3||||
107|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.    * grow cool|Achillea Moonwalker\'||A|3||||*
108|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again.|Achillea nana||B|||||
109|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea nobilis subsp. neilreichii||A|3||||
110|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea ptarmica||A|3||||
111|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea ptarmica subsp. pyrenaica||A|3||||
112|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea ptarmicifolia||A|3||||
113|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea pyrenaica||A|3||||
114|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea Schwellenburg\'||A|3||||
115|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea sibirica||A|3||||
116|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea sibirica \'Stephanie Cohen\'||A|3||||
117|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea sibirica ssp. camtschatica \'Love Parade\'||A|3||||
118|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea sibirica subsp. camtschatica||A|3||||
119|Try A.  We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful.|Achillea sp.||?|||||
120|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea Summer Pastels Group||A|3||||
121|Sow @ 20C. Seed germinates within 3 months|Achillea tomentosa||A|||||
122|Sow @ 20C. Seed germinates within 3 months|Achillea tomentosa \'Aurea\'||A|||||
123|N Sow directly in the garden. Sow @ 20C. Seed germinates within 3 months Resents transplanting.|Achillea umbellata||A|1||||
124|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again. Requires light or the seed is very fine. Surface sow and expose to light.|Achillea x kellereri||B|3||||
125|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Achillea x lewisii \'King Edward\'||A|3||||
126|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Achlys japonica||L|||||
127|Sow @ 20C. Seed germinates within 3 months|Achnatherum calamagrostis||A|||||
128|Sow @ 20C. Seed germinates within 3 months|Achnatherum extremiorientale||A|||||
129|Sow at 10C.|Acidanthera bicolor||K|||||
130|Try A.  We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful.|Acidanthera sp.||?|||||
131|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Acinos alpinus||A|3||||
132|Sow @ 20C. Seed germinates within 3 months|Acis autumnalis||A|||||
133|Sow @ 20C. Seed germinates within 3 months|Acis nicaeensis||A|||||
134|Sow @ 20C. Seed germinates within 3 months|Acmella oleracea||A|||||
135|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.    Germination is improved by using GA3.    * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum alboviolaceum|!||4||||*
136|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling ,20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum all species|!||||||*
137|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow at 10C. Requires light or the seed is very fine. Surface sow and expose to light.    * seed very poisonous, wash hands after handling|Aconitum altaicum|!|K|3||||*
138|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum anthora|!||||||*
139|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum baicalense|!||||||*
140|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.        * seed very poisonous, wash hands after handling, 20C x 4 weeks, then -7C x 6 weeks, then 10C,|Aconitum bakeri|!||||||*
