"varname","tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"UNKNOWN","720","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","720","1","Real World Object URI","Real World Object URI","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","720","4","Relationship","Relationship","1","0","0","","-1","","","","0","0","SPF","","","","9999","2"
"UNKNOWN","720","5","Institution to which field applies","Institution to which field applies","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","720","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","720","7","Data provenance","Data provenance","1","0","0","","-1","","","","0","-6","SPF","","","","9999","5"
"UNKNOWN","720","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","720","a","Name","Name","0","0","0","","-1","","","","0","0","SPF","","","","9999","7"
"UNKNOWN","720","e","Relator term","Relator term","1","0","0","","-1","","","","0","0","SPF","","","","9999","8"
"UNKNOWN","730","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","730","1","Real World Object URI","Real World Object URI","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","730","2","Source of heading or term","Source of heading or term","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","730","3","Materials specified","Materials specified","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","730","4","Relationship","Relationship","1","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","730","5","Institution to which field applies","Institution to which field applies","0","0","0","","-1","","","","0","-6","SPF","","","","9999","5"
"UNKNOWN","730","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","730","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","7"
"UNKNOWN","730","9","9 (RLIN)","9 (RLIN)","0","0","0","","-1","","","","0","-5","SPF","","","","9999","8"
"UNKNOWN","730","a","Uniform title","Uniform title","0","0","0","","-1","","UNIF_TITLE","","0","-1","SPF","","","","9999","9"
"UNKNOWN","730","d","Date of treaty signing","Date of treaty signing","1","0","0","","-1","","","","0","-6","SPF","","","","9999","10"
"UNKNOWN","730","f","Date of a work","Date of a work","0","0","0","","-1","","","","0","-6","SPF","","","","9999","11"
"UNKNOWN","730","g","Miscellaneous information","Miscellaneous information","1","0","0","","-1","","","","0","-6","SPF","","","","9999","12"
"UNKNOWN","730","h","Medium","Medium","0","0","0","","-1","","","","0","-6","SPF","","","","9999","13"
"UNKNOWN","730","i","Relationship information","Relationship information","1","0","0","","-1","","","","0","-6","SPF","","","","9999","14"
"UNKNOWN","730","k","Form subheading","Form subheading","1","0","0","","-1","","","","0","-6","SPF","","","","9999","16"
"UNKNOWN","730","l","Language of a work","Language of a work","0","0","0","","-1","","","","0","-1","SPF","","","","9999","17"
"UNKNOWN","730","m","Medium of performance for music","Medium of performance for music","1","0","0","","-1","","","","0","-1","SPF","","","","9999","15"
"UNKNOWN","730","n","Number of part/section of a work","Number of part/section of a work","1","0","0","","-1","","","","0","-6","SPF","","","","9999","18"
"UNKNOWN","730","o","Arranged statement for music","Arranged statement for music","0","0","0","","-1","","","","0","-6","SPF","","","","9999","19"
"UNKNOWN","730","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","-1","","","","0","-6","SPF","","","","9999","20"
"UNKNOWN","730","r","Key for music","Key for music","0","0","0","","-1","","","","0","-1","SPF","","","","9999","21"
"UNKNOWN","730","s","Version","Version","1","0","0","","-1","","","","0","-6","SPF","","","","9999","22"
"UNKNOWN","730","t","Title of a work","Title of a work","0","0","0","","-1","","","","0","-6","SPF","","","","9999","23"
"UNKNOWN","730","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","-1","","","","0","-6","SPF","","","","9999","24"
"UNKNOWN","740","5","Institution to which field applies","Institution to which field applies","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","740","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","740","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","740","a","Uncontrolled related/analytical title","Uncontrolled related/analytical title","0","0","0","","-1","","","","0","-1","SPF","","","","9999","3"
"UNKNOWN","740","h","Medium","Medium","0","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","740","n","Number of part/section of a work","Number of part/section of a work","1","0","0","","-1","","","","0","-6","SPF","","","","9999","5"
"UNKNOWN","740","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","751","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","1","Real World Object URI","Real World Object URI","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","2","Source of heading or term","Source of heading or term","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","3","Materials specified","Materials specified","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","4","Relationship","Relationship","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","7","Data provenance","Data provenance","1","0","0","","7","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","751","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","a","Geographic name","Geographic name","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","e","Relator term","Relator term","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","751","g","Miscellaneous information","Miscellaneous information","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","1","Real World Object URI","Real World Object URI","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","2","Source of heading or term","Source of heading or term","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","4","Relationship","Relationship","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","a","Country or larger entity","Country or larger entity","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","b","First-order political jurisdiction","First-order political jurisdiction","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","c","Intermediate political jurisdiction","Intermediate political jurisdiction","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","d","City","City","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","e","Relator term","Relator term","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","f","City subsection","City subsection","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","g","Other nonjurisdictional geographic region and feature","Other nonjurisdictional geographic region and feature","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","752","h","Extraterrestrial area","Extraterrestrial area","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","753","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","753","1","Real World Object URI","Real World Object URI","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","753","2","Source of term","Source of term","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","753","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","753","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","753","a","Make and model of machine","Make and model of machine","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","753","b","Programming language","Programming language","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","753","c","Operating system","Operating system","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","1","Real World Object URI","Real World Object URI","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","2","Source of taxonomic identification","Source of taxonomic identification","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","a","Taxonomic name","Taxonomic name","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","c","Taxonomic category","Taxonomic category","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","d","Common or alternative name","Common or alternative name","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","x","Non-public note","Non-public note","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","754","z","Public note","Public note","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","755","2","Source of taxonomic identification","Source of taxonomic identification","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","755","3","Materials specified","Materials specified","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","755","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","755","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","755","a","Access term","Access term","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","755","x","General subdivision","General subdivision","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","755","y","Chronological subdivision","Chronological subdivision","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","755","z","Geographic subdivision","Geographic subdivision","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","1","Real World Object URI","Real World Object URI","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","2","Source of heading or term","Source of heading or term","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","3","Materials specified","Materials specified","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","4","Relationship","Relationship","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","5","Institution to which field applies","Institution to which field applies","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","a","Label","Label","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","758","i","Relationship information","Relationship information","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","760","4","Relationship","Relationship","1","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","760","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","760","7","Control subfield","Control subfield","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","760","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","760","a","Main entry heading","Main entry heading","0","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","760","b","Edition","Edition","0","0","0","","-1","","","","0","0","SPF","","","","9999","5"
"UNKNOWN","760","c","Qualifying information","Qualifying information","0","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","760","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","-1","","","","0","-6","SPF","","","","9999","7"
"UNKNOWN","760","g","Related parts","Related parts","1","0","0","","-1","","","","0","-6","SPF","","","","9999","8"
"UNKNOWN","760","h","Physical description","Physical description","0","0","0","","-1","","","","0","-6","SPF","","","","9999","9"
"UNKNOWN","760","i","Relationship information","Relationship information","1","0","0","","-1","","","","0","-6","SPF","","","","9999","10"
"UNKNOWN","760","l","Data provenance","Data provenance","1","0","0","","-1","","","","0","-6","SPF","","","","9999","11"
"UNKNOWN","760","m","Material-specific details","Material-specific details","0","0","0","","-1","","","","0","-6","SPF","","","","9999","12"
"UNKNOWN","760","n","Note","Note","1","0","0","","-1","","","","0","-6","SPF","","","","9999","13"
"UNKNOWN","760","o","Other item identifier","Other item identifier","1","0","0","","-1","","","","0","-6","SPF","","","","9999","14"
"UNKNOWN","760","q","Parallel title (BK SE) [OBSOLETE]","Parallel title (BK SE) [OBSOLETE]","0","0","0","","-1","","","","0","-6","SPF","","","","9999","16"
"UNKNOWN","760","s","Uniform title","Uniform title","0","0","0","","7","","","","0","-6","SPF","","","","9999","15"
"UNKNOWN","760","t","Title","Title","0","0","0","","-1","","","","0","-6","SPF","","","","9999","17"
"UNKNOWN","760","w","Record control number","Record control number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","18"
"UNKNOWN","760","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","-1","","","","0","-6","SPF","","","","9999","19"
"UNKNOWN","760","y","CODEN designation","CODEN designation","0","0","0","","-1","","","","0","-6","SPF","","","","9999","20"
"UNKNOWN","762","4","Relationship","Relationship","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","7","Control subfield","Control subfield","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","a","Main entry heading","Main entry heading","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","b","Edition","Edition","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","c","Qualifying information","Qualifying information","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","g","Related parts","Related parts","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","h","Physical description","Physical description","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","i","Relationship information","Relationship information","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","l","Data provenance","Data provenance","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","m","Material-specific details","Material-specific details","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","n","Note","Note","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","o","Other item identifier","Other item identifier","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","q","Parallel title (BK SE) [OBSOLETE]","Parallel title (BK SE) [OBSOLETE]","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","s","Uniform title","Uniform title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","t","Title","Title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","w","Record control number","Record control number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","762","y","CODEN designation","CODEN designation","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","4","Relationship","Relationship","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","7","Control subfield","Control subfield","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","a","Main entry heading","Main entry heading","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","b","Edition","Edition","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","c","Qualifying information","Qualifying information","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","g","Related parts","Related parts","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","h","Physical description","Physical description","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","i","Relationship information","Relationship information","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","k","Series data for related item","Series data for related item","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","l","Data provenance","Data provenance","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","m","Material-specific details","Material-specific details","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","n","Note","Note","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","o","Other item identifier","Other item identifier","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","q","Parallel title (BK SE)  [OBSOLETE]","Parallel title (BK SE)  [OBSOLETE]","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","r","Report number","Report number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","s","Uniform title","Uniform title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","t","Title","Title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","u","Standard Technical Report Number","Standard Technical Report Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","w","Record control number","Record control number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","y","CODEN designation","CODEN designation","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","765","z","International Standard Book Number","International Standard Book Number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","4","Relationship","Relationship","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","7","Control subfield","Control subfield","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","a","Main entry heading","Main entry heading","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","b","Edition","Edition","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","c","Qualifying information","Qualifying information","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","g","Related parts","Related parts","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","h","Physical description","Physical description","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","i","Relationship information","Relationship information","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","k","Series data for related item","Series data for related item","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","l","Data provenance","Data provenance","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","m","Material-specific details","Material-specific details","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","n","Note","Note","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","o","Other item identifier","Other item identifier","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","q","Parallel title (BK SE) [OBSOLETE]","Parallel title (BK SE) [OBSOLETE]","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","r","Report number","Report number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","s","Uniform title","Uniform title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","t","Title","Title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","u","Standard Technical Report Number","Standard Technical Report Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","w","Record control number","Record control number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","y","CODEN designation","CODEN designation","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","767","z","International Standard Book Number","International Standard Book Number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","4","Relationship","Relationship","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","7","Control subfield","Control subfield","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","a","Main entry heading","Main entry heading","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","b","Edition","Edition","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","c","Qualifying information","Qualifying information","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","g","Related parts","Related parts","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","h","Physical description","Physical description","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","i","Relationship information","Relationship information","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","k","Series data for related item","Series data for related item","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","l","Data provenance","Data provenance","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","m","Material-specific details","Material-specific details","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","n","Note","Note","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","o","Other item identifier","Other item identifier","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","q","Parallel title (BK SE) [OBSOLETE]","Parallel title (BK SE) [OBSOLETE]","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","r","Report number","Report number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","s","Uniform title","Uniform title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","t","Title","Title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","u","Standard Technical Report Number","Standard Technical Report Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","w","Record control number","Record control number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","y","CODEN designation","CODEN designation","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","770","z","International Standard Book Number","International Standard Book Number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","4","Relationship","Relationship","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","6","Linkage","Linkage","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","7","Control subfield","Control subfield","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","a","Main entry heading","Main entry heading","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","b","Edition","Edition","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","c","Qualifying information","Qualifying information","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","g","Related parts","Related parts","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","h","Physical description","Physical description","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","i","Relationship information","Relationship information","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","k","Series data for related item","Series data for related item","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","l","Data provenance","Data provenance","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","m","Material-specific details","Material-specific details","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","n","Note","Note","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","o","Other item identifier","Other item identifier","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","q","Parallel title (BK SE) [OBSOLETE]","Parallel title (BK SE) [OBSOLETE]","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","r","Report number","Report number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","s","Uniform title","Uniform title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","t","Title","Title","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","u","Standard Technical Report Number","Standard Technical Report Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","w","Record control number","Record control number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","y","CODEN designation","CODEN designation","0","0","0","","7","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","772","z","International Standard Book Number","International Standard Book Number","1","0","0","","7","","","","","-6","SPF","","","","9999","0"
