"varname","tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"UNKNOWN","090","LOCALLY ASSIGNED LC-TYPE CALL NUMBER (OCLC); LOCAL CALL NUMBER (RLIN)","LOCALLY ASSIGNED LC-TYPE CALL NUMBER (OCLC); LOCAL CALL NUMBER (RLIN)","1","0","0","","","","SPF"
"UNKNOWN","091","MICROFILM SHELF LOCATION (AM) [OBSOLETE]","MICROFILM SHELF LOCATION (AM) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","092","LOCALLY ASSIGNED DEWEY CALL NUMBER (OCLC)","LOCALLY ASSIGNED DEWEY CALL NUMBER (OCLC)","1","0","0","","","","SPF"
"UNKNOWN","096","LOCALLY ASSIGNED NLM-TYPE CALL NUMBER (OCLC)","LOCALLY ASSIGNED NLM-TYPE CALL NUMBER (OCLC)","1","0","0","","","","SPF"
"UNKNOWN","098","OTHER CLASSIFICATION SCHEMES (OCLC)","OTHER CLASSIFICATION SCHEMES (OCLC)","1","0","0","","","","SPF"
"UNKNOWN","099","LOCAL FREE-TEXT CALL NUMBER (OCLC)","LOCAL FREE-TEXT CALL NUMBER (OCLC)","1","0","0","","","","SPF"
"UNKNOWN","100","MAIN ENTRY--PERSONAL NAME","MAIN ENTRY--PERSONAL NAME","0","0","0","","","","SPF"
"SPECIES","110","MAIN ENTRY--CORPORATE NAME","MAIN ENTRY--CORPORATE NAME","0","0","0","","","","SPF"
"UNKNOWN","111","MAIN ENTRY--MEETING NAME","MAIN ENTRY--MEETING NAME","0","0","0","","","","SPF"
"UNKNOWN","130","MAIN ENTRY--UNIFORM TITLE","MAIN ENTRY--UNIFORM TITLE","0","0","0","","","","SPF"
"UNKNOWN","210","ABBREVIATED TITLE","ABBREVIATED TITLE","1","0","0","","","","SPF"
"UNKNOWN","211","ACRONYM OR SHORTENED TITLE [OBSOLETE]","ACRONYM OR SHORTENED TITLE [OBSOLETE]","1","0","0","","","","SPF"
"UNKNOWN","212","VARIANT ACCESS TITLE [OBSOLETE]","VARIANT ACCESS TITLE [OBSOLETE]","1","0","0","","","","SPF"
"UNKNOWN","214","AUGMENTED TITLE [OBSOLETE]","AUGMENTED TITLE [OBSOLETE]","1","0","0","","","","SPF"
"UNKNOWN","222","KEY TITLE","KEY TITLE","1","0","0","","","","SPF"
"UNKNOWN","240","UNIFORM TITLE","UNIFORM TITLE","0","0","0","Unititle","","","SPF"
"UNKNOWN","241","ROMANIZED TITLE (BK AM CF MP MU VM) [OBSOLETE]","ROMANIZED TITLE (BK AM CF MP MU VM) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","242","TRANSLATION OF TITLE BY CATALOGING AGENCY","TRANSLATION OF TITLE BY CATALOGING AGENCY","1","0","0","","","","SPF"
"UNKNOWN","243","COLLECTIVE UNIFORM TITLE","COLLECTIVE UNIFORM TITLE","0","0","0","","","","SPF"
"UNKNOWN","245","TITLE STATEMENT","TITLE STATEMENT","0","1","0","","","","SPF"
"UNKNOWN","246","VARYING FORM OF TITLE","VARYING FORM OF TITLE","1","0","0","","","","SPF"
"UNKNOWN","247","FORMER TITLE","FORMER TITLE","1","0","0","","","","SPF"
"UNKNOWN","250","EDITION STATEMENT","EDITION STATEMENT","1","0","0","","","","SPF"
"VERSION","251","VERSION INFORMATION","VERSION INFORMATION","1","0","0","","","","SPF"
"UNKNOWN","254","MUSICAL PRESENTATION STATEMENT","MUSICAL PRESENTATION STATEMENT","0","0","0","","","","SPF"
"UNKNOWN","255","CARTOGRAPHIC MATHEMATICAL DATA","CARTOGRAPHIC MATHEMATICAL DATA","1","0","0","","","","SPF"
"UNKNOWN","256","COMPUTER FILE CHARACTERISTICS","COMPUTER FILE CHARACTERISTICS","0","0","0","","","","SPF"
"UNKNOWN","257","COUNTRY OF PRODUCING ENTITY","COUNTRY OF PRODUCING ENTITY","1","0","0","","","","SPF"
"UNKNOWN","258","PHILATELIC ISSUE DATA","PHILATELIC ISSUE DATA","1","0","0","","","","SPF"
"UNKNOWN","260","PUBLICATION, DISTRIBUTION, ETC.","PUBLICATION, DISTRIBUTION, ETC.","1","0","0","","","","SPF"
"UNKNOWN","261","IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) [OBSOLETE, CAN/MARC], [LOCAL, USA]","IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) [OBSOLETE, CAN/MARC], [LOCAL, USA]","0","0","0","","","","SPF"
"UNKNOWN","262","IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) [LOCAL, USA]","IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) [LOCAL, USA]","0","0","0","","","","SPF"
"UNKNOWN","263","PROJECTED PUBLICATION DATE","PROJECTED PUBLICATION DATE","0","0","0","","","","SPF"
"UNKNOWN","264","PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE","PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE","1","0","0","","","","SPF"
"UNKNOWN","265","SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS [OBSOLETE]","SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","270","ADDRESS","ADDRESS","1","0","0","","","","SPF"
"UNKNOWN","300","PHYSICAL DESCRIPTION","PHYSICAL DESCRIPTION","1","0","0","","","","SPF"
"UNKNOWN","301","PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE, USMARC]","PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE, USMARC]","0","0","0","","","","SPF"
"UNKNOWN","302","PAGE OR ITEM COUNT (BK AM) [OBSOLETE]","PAGE OR ITEM COUNT (BK AM) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","303","UNIT COUNT (AM) [OBSOLETE, USMARC]","UNIT COUNT (AM) [OBSOLETE, USMARC]","0","0","0","","","","SPF"
"UNKNOWN","304","LINEAR FOOTAGE (AM) [OBSOLETE, USMARC]","LINEAR FOOTAGE (AM) [OBSOLETE, USMARC]","0","0","0","","","","SPF"
"UNKNOWN","305","PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]","PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","306","PLAYING TIME","PLAYING TIME","0","0","0","","","","SPF"
"UNKNOWN","307","HOURS, ETC.","HOURS, ETC.","1","0","0","","","","SPF"
"UNKNOWN","308","PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]","PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]","1","0","0","","","","SPF"
"UNKNOWN","310","CURRENT PUBLICATION FREQUENCY","CURRENT PUBLICATION FREQUENCY","1","0","0","","","","SPF"
"UNKNOWN","315","FREQUENCY (CF MP) [OBSOLETE]","FREQUENCY (CF MP) [OBSOLETE]","0","0","0","","","","SPF"
"UNKNOWN","321","FORMER PUBLICATION FREQUENCY","FORMER PUBLICATION FREQUENCY","1","0","0","","","","SPF"
